"","x"
"1368","-0.68"
"1369","-0.68"
"1370","-0.68"
"1371","-0.45"
"1372","-0.45"
"1373","-0.45"
"1374","-0.45"
"1375","-0.45"
"1376","-0.45"
"1377","-0.32"
"1378","-0.32"
"1379","-0.32"
"1380","-0.32"
"1381","-0.32"
"1382","-0.62"
"1383","-0.62"
"1384","-0.62"
"1385","-0.62"
"1386","-0.62"
"1387","-0.25"
"1388","-0.25"
"1389","-0.25"
"1390","-0.25"
"1391","-0.25"
"1392","-0.02"
"1393","-0.02"
"1394","-0.02"
"1395","-0.02"
"1396","-0.02"
"1397","-0.54"
"1398","-0.54"
"1399","-0.54"
"1400","-0.54"
"1401","-0.54"
"1402","-0.19"
"1403","-0.19"
"1404","-0.19"
"1405","-0.19"
"1406","-0.19"
"1407","0.01"
"1408","0.01"
"1409","0.01"
"1410","0.01"
"1411","0.01"
"1412","-0.24"
"1413","-0.24"
"1414","-0.24"
"1415","-0.24"
"1416","-0.24"
"1417","-0.88"
"1418","-0.88"
"1419","-0.88"
"1420","-0.88"
"1421","-0.88"
"1422","0.23"
"1423","0.23"
"1424","0.23"
"1425","0.23"
"1426","0.23"
"1427","-0.40"
"1428","-0.40"
"1429","-0.40"
"1430","-0.40"
"1431","-0.40"
"1432","-0.10"
"1433","-0.10"
"1434","-0.10"
"1435","-0.10"
"1436","-0.10"
"1437","0.09"
"1438","0.09"
"1439","0.09"
"1440","0.09"
"1441","0.09"
"1442","0.17"
"1443","0.17"
"1444","0.17"
"1445","0.17"
"1446","0.17"
"1447","-0.03"
"1448","-0.03"
"1449","-0.03"
"1450","-0.03"
"1451","-0.03"
"1452","0.11"
"1453","0.11"
"1454","0.11"
"1455","0.11"
"1456","0.11"
"1457","0.25"
"1458","0.25"
"1459","0.25"
"1460","0.25"
"1461","0.25"
"1462","-0.70"
"1463","-0.70"
"1464","-0.70"
"1465","-0.70"
"1466","-0.70"
"1467","0.29"
"1468","0.29"
"1469","0.29"
"1470","0.29"
"1471","0.29"
"1472","-0.47"
"1473","-0.47"
"1474","-0.47"
"1475","-0.47"
"1476","-0.47"
"1477","0.01"
"1478","0.01"
"1479","0.01"
"1480","0.01"
"1481","0.01"
"1482","0.35"
"1483","0.35"
"1484","0.35"
"1485","0.35"
"1486","0.35"
"1487","0.40"
"1488","0.40"
"1489","0.40"
"1490","0.40"
"1491","0.40"
"1492","-0.05"
"1493","-0.05"
"1494","-0.05"
"1495","-0.05"
"1496","-0.05"
"1497","0.88"
"1498","0.88"
"1499","0.88"
"1500","0.88"
"1501","0.88"
"1502","0.42"
"1503","0.42"
"1504","0.42"
"1505","0.42"
"1506","0.42"
"1507","0.25"
"1508","0.25"
"1509","0.25"
"1510","0.25"
"1511","0.25"
"1512","0.25"
"1513","0.46"
"1514","0.46"
"1515","0.46"
"1516","0.46"
"1517","0.46"
"1518","0.46"
"1519","-0.01"
"1520","-0.01"
"1521","-0.01"
"1522","-0.01"
"1523","-0.01"
"1524","0.23"
"1525","0.23"
"1526","0.23"
"1527","0.23"
"1528","0.23"
"1529","0.75"
"1530","0.75"
"1531","0.75"
"1532","0.75"
"1533","0.75"
"1534","0.75"
"1535","1.00"
"1536","1.00"
"1537","1.00"
"1538","1.00"
"1539","1.00"
"1540","1.00"
"1541","0.36"
"1542","0.36"
"1543","0.36"
"1544","0.36"
"1545","0.36"
"1546","0.60"
"1547","0.60"
"1548","0.60"
"1549","0.60"
"1550","0.60"
"1551","0.60"
"1552","1.20"
"1553","1.20"
"1554","1.20"
"1555","1.20"
"1556","1.20"
"1557","1.20"
"1558","0.91"
"1559","0.91"
"1560","0.91"
"1561","0.91"
"1562","0.91"
"1563","0.21"
"1564","0.21"
"1565","0.21"
"1566","0.21"
"1567","0.21"
"1568","0.67"
"1569","0.67"
"1570","0.67"
